Date,Ratio
2013-01,15.0
2013-02,15.58
2013-03,17.33
2013-04,17.11
2013-05,17.33
2013-06,17.33
2013-07,17.81
2013-08,18.06
2013-09,19.44
2013-10,16.67
2013-11,17.39
2013-12,19.4
2014-01,19.7
2014-02,19.4
2014-03,17.91
2014-04,20.97
2014-05,19.05
2014-06,21.31
2014-07,20.97
2014-08,19.67
2014-09,20.34
2014-10,22.81
2014-11,20.69
2014-12,23.21
2015-01,22.81
2015-02,21.82
2015-03,25.93
2015-04,24.07
2015-05,21.43
2015-06,24.53
2015-07,23.08
2015-08,23.53
2015-09,28.0
2015-10,26.0
2015-11,23.53
2015-12,26.0
2016-01,27.08
2016-02,26.53
2016-03,26.0
2016-04,23.53
2016-05,27.08
2016-06,24.49
2016-07,25.0
2016-08,26.53
2016-09,22.0
2016-10,22.45
2016-11,25.53
2016-12,25.53
2017-01,25.53
2017-02,26.09
2017-03,27.27
2017-04,27.27
2017-05,27.27
2017-06,30.23
2017-07,30.23
2017-08,29.55
2017-09,27.91
2017-10,28.57
2017-11,28.57
2017-12,29.27
2018-01,32.5
2018-02,29.27
2018-03,30.0
2018-04,30.0
2018-05,31.58
2018-06,30.0
2018-07,31.58
2018-08,31.58
2018-09,32.43
2018-10,31.58
2018-11,34.21
2018-12,30.77
2019-01,27.5
2019-02,31.58
2019-03,28.95
2019-04,36.11
2019-05,32.43
2019-06,33.33
2019-07,32.43
2019-08,32.43
2019-09,37.14
2019-10,33.33
2019-11,33.33
2019-12,36.11
2020-01,34.29
2020-02,37.14
2020-03,195.45
2020-04,48.3
2020-05,12.12
2020-06,14.55
2020-07,12.75
2020-08,13.1
2020-09,13.92
2020-10,17.39
2020-11,22.39
2020-12,19.4
2021-01,17.46
2021-02,17.74
2021-03,16.39
2021-04,16.39
2021-05,15.52
2021-06,15.25
2021-07,18.52
2021-08,17.31
2021-09,20.83
2021-10,20.0
2021-11,21.43
2021-12,23.08
2022-01,22.5
2022-02,23.68
2022-03,25.0
2022-04,25.0
2022-05,27.78
2022-06,27.78
2022-07,28.57
2022-08,29.73
2022-09,25.71
2022-10,27.03
2022-11,27.78
2022-12,28.57
